Filename,Config,OCR_module,LLM_model,Accuracy,Precision,Recall,F1_Score
example4,61,PaddleOCR,Llama37B,0.2857142857142857,1.0,0.2857142857142857,0.4444444444444444
example3,192,PaddleOCR,Llama37B,0.3076923076923077,1.0,0.3076923076923077,0.47058823529411764
example4,206,EasyOCR,Llama37B,0.0,0.0,0.0,0.0
example4,206,PaddleOCR,Mistral7B,0.0,0.0,0.0,0.0
example4,231,PaddleOCR,Llama37B,0.0,0.0,0.0,0.0
example4,206,TesseractOCR,Mistral7B,0.25,1.0,0.25,0.4
example4,206,TesseractOCR,Llama37B,0.0,0.0,0.0,0.0
example4,206,KerasOCR,Llama37B,0.0,0.0,0.0,0.0
example4,174,PaddleOCR,Llama37B,0.3076923076923077,1.0,0.3076923076923077,0.47058823529411764
example4,206,docTR,Mistral7B,0.14285714285714285,1.0,0.14285714285714285,0.25
example4,206,KerasOCR,Mistral7B,0.14285714285714285,1.0,0.14285714285714285,0.25
example3,62,PaddleOCR,Llama37B,0.10810810810810811,1.0,0.10810810810810811,0.1951219512195122
example4,206,docTR,Llama37B,0.07692307692307693,1.0,0.07692307692307693,0.14285714285714285
example4,206,PaddleOCR,Llama37B,0.07692307692307693,1.0,0.07692307692307693,0.14285714285714285
