example3.jpg - Time needed: 0.010121583938598633 - Config 0: Binarization.basic, SkewCorrection.boxes, NoiseRemoval.mean_filter
example3.jpg - Time needed: 0.0008881092071533203 - Config 1: Binarization.basic, SkewCorrection.boxes, NoiseRemoval.gaussian_filter
example3.jpg - Time needed: 0.003605365753173828 - Config 2: Binarization.basic, SkewCorrection.boxes, NoiseRemoval.median_filter
example3.jpg - Time needed: 58.653457164764404 - Config 3: Binarization.basic, SkewCorrection.boxes, NoiseRemoval.conservative_filter
example3.jpg - Time needed: 0.009055852890014648 - Config 4: Binarization.basic, SkewCorrection.boxes, NoiseRemoval.laplacian_filter
example3.jpg - Time needed: 0.31287384033203125 - Config 5: Binarization.basic, SkewCorrection.boxes, NoiseRemoval.frequency_filter
example3.jpg - Time needed: 365.3300895690918 - Config 6: Binarization.basic, SkewCorrection.boxes, NoiseRemoval.crimmins_speckle_removal
example3.jpg - Time needed: 0.08530688285827637 - Config 7: Binarization.basic, SkewCorrection.boxes, NoiseRemoval.unsharp_filter
example3.jpg - Time needed: 0.011232376098632812 - Config 8: Binarization.basic, SkewCorrection.hough_transform, NoiseRemoval.mean_filter
example3.jpg - Time needed: 0.0020923614501953125 - Config 9: Binarization.basic, SkewCorrection.hough_transform, NoiseRemoval.gaussian_filter
example3.jpg - Time needed: 0.004873752593994141 - Config 10: Binarization.basic, SkewCorrection.hough_transform, NoiseRemoval.median_filter
example3.jpg - Time needed: 78.30661153793335 - Config 11: Binarization.basic, SkewCorrection.hough_transform, NoiseRemoval.conservative_filter
example3.jpg - Time needed: 0.014346599578857422 - Config 12: Binarization.basic, SkewCorrection.hough_transform, NoiseRemoval.laplacian_filter
example3.jpg - Time needed: 0.41075849533081055 - Config 13: Binarization.basic, SkewCorrection.hough_transform, NoiseRemoval.frequency_filter
example3.jpg - Time needed: 485.5819637775421 - Config 14: Binarization.basic, SkewCorrection.hough_transform, NoiseRemoval.crimmins_speckle_removal
example3.jpg - Time needed: 0.11299633979797363 - Config 15: Binarization.basic, SkewCorrection.hough_transform, NoiseRemoval.unsharp_filter
example3.jpg - Time needed: 0.005563497543334961 - Config 16: Binarization.basic, SkewCorrection.moments, NoiseRemoval.mean_filter
example3.jpg - Time needed: 0.002213716506958008 - Config 17: Binarization.basic, SkewCorrection.moments, NoiseRemoval.gaussian_filter
example3.jpg - Time needed: 0.002372264862060547 - Config 18: Binarization.basic, SkewCorrection.moments, NoiseRemoval.median_filter
example3.jpg - Time needed: 65.71542143821716 - Config 19: Binarization.basic, SkewCorrection.moments, NoiseRemoval.conservative_filter
example3.jpg - Time needed: 0.009052276611328125 - Config 20: Binarization.basic, SkewCorrection.moments, NoiseRemoval.laplacian_filter
example3.jpg - Time needed: 0.30937981605529785 - Config 21: Binarization.basic, SkewCorrection.moments, NoiseRemoval.frequency_filter
example3.jpg - Time needed: 406.99493861198425 - Config 22: Binarization.basic, SkewCorrection.moments, NoiseRemoval.crimmins_speckle_removal
example3.jpg - Time needed: 0.09137463569641113 - Config 23: Binarization.basic, SkewCorrection.moments, NoiseRemoval.unsharp_filter
example3.jpg - Time needed: 0.00897979736328125 - Config 24: Binarization.basic, SkewCorrection.topline, NoiseRemoval.mean_filter
example3.jpg - Time needed: 0.003046751022338867 - Config 25: Binarization.basic, SkewCorrection.topline, NoiseRemoval.gaussian_filter
example3.jpg - Time needed: 0.0033097267150878906 - Config 26: Binarization.basic, SkewCorrection.topline, NoiseRemoval.median_filter
example3.jpg - Time needed: 117.36273765563965 - Config 27: Binarization.basic, SkewCorrection.topline, NoiseRemoval.conservative_filter
