example4.jpg - Time needed: 0.009639263153076172 - Config 0: Binarization.basic, SkewCorrection.boxes, NoiseRemoval.mean_filter
example4.jpg - Time needed: 0.0010197162628173828 - Config 1: Binarization.basic, SkewCorrection.boxes, NoiseRemoval.gaussian_filter
example4.jpg - Time needed: 0.004383087158203125 - Config 2: Binarization.basic, SkewCorrection.boxes, NoiseRemoval.median_filter
example4.jpg - Time needed: 59.29264235496521 - Config 3: Binarization.basic, SkewCorrection.boxes, NoiseRemoval.conservative_filter
example4.jpg - Time needed: 0.009284734725952148 - Config 4: Binarization.basic, SkewCorrection.boxes, NoiseRemoval.laplacian_filter
example4.jpg - Time needed: 0.30315089225769043 - Config 5: Binarization.basic, SkewCorrection.boxes, NoiseRemoval.frequency_filter
example4.jpg - Time needed: 351.8374927043915 - Config 6: Binarization.basic, SkewCorrection.boxes, NoiseRemoval.crimmins_speckle_removal
example4.jpg - Time needed: 0.0861353874206543 - Config 7: Binarization.basic, SkewCorrection.boxes, NoiseRemoval.unsharp_filter
example4.jpg - Time needed: 0.0091705322265625 - Config 8: Binarization.basic, SkewCorrection.hough_transform, NoiseRemoval.mean_filter
example4.jpg - Time needed: 0.0024344921112060547 - Config 9: Binarization.basic, SkewCorrection.hough_transform, NoiseRemoval.gaussian_filter
example4.jpg - Time needed: 0.005403280258178711 - Config 10: Binarization.basic, SkewCorrection.hough_transform, NoiseRemoval.median_filter
example4.jpg - Time needed: 121.61508774757385 - Config 11: Binarization.basic, SkewCorrection.hough_transform, NoiseRemoval.conservative_filter
example4.jpg - Time needed: 0.01991438865661621 - Config 12: Binarization.basic, SkewCorrection.hough_transform, NoiseRemoval.laplacian_filter
example4.jpg - Time needed: 1.0642592906951904 - Config 13: Binarization.basic, SkewCorrection.hough_transform, NoiseRemoval.frequency_filter
example4.jpg - Time needed: 716.3601694107056 - Config 14: Binarization.basic, SkewCorrection.hough_transform, NoiseRemoval.crimmins_speckle_removal
example4.jpg - Time needed: 0.16612863540649414 - Config 15: Binarization.basic, SkewCorrection.hough_transform, NoiseRemoval.unsharp_filter
example4.jpg - Time needed: 0.0052661895751953125 - Config 16: Binarization.basic, SkewCorrection.moments, NoiseRemoval.mean_filter
example4.jpg - Time needed: 0.0007476806640625 - Config 17: Binarization.basic, SkewCorrection.moments, NoiseRemoval.gaussian_filter
example4.jpg - Time needed: 0.0025606155395507812 - Config 18: Binarization.basic, SkewCorrection.moments, NoiseRemoval.median_filter
example4.jpg - Time needed: 65.31726789474487 - Config 19: Binarization.basic, SkewCorrection.moments, NoiseRemoval.conservative_filter
