5.png - Config 0: Binarization.basic, SkewCorrection.boxes, NoiseRemoval.mean_filter
5.png - Config 1: Binarization.basic, SkewCorrection.boxes, NoiseRemoval.gaussian_filter
5.png - Config 2: Binarization.basic, SkewCorrection.hough_transform, NoiseRemoval.mean_filter
5.png - Config 3: Binarization.basic, SkewCorrection.hough_transform, NoiseRemoval.gaussian_filter
5.png - Config 4: Binarization.otsu, SkewCorrection.boxes, NoiseRemoval.mean_filter
5.png - Config 5: Binarization.otsu, SkewCorrection.boxes, NoiseRemoval.gaussian_filter
5.png - Config 6: Binarization.otsu, SkewCorrection.hough_transform, NoiseRemoval.mean_filter
5.png - Config 7: Binarization.otsu, SkewCorrection.hough_transform, NoiseRemoval.gaussian_filter
4.png - Config 0: Binarization.basic, SkewCorrection.boxes, NoiseRemoval.mean_filter
4.png - Config 1: Binarization.basic, SkewCorrection.boxes, NoiseRemoval.gaussian_filter
4.png - Config 2: Binarization.basic, SkewCorrection.hough_transform, NoiseRemoval.mean_filter
4.png - Config 3: Binarization.basic, SkewCorrection.hough_transform, NoiseRemoval.gaussian_filter
4.png - Config 4: Binarization.otsu, SkewCorrection.boxes, NoiseRemoval.mean_filter
4.png - Config 5: Binarization.otsu, SkewCorrection.boxes, NoiseRemoval.gaussian_filter
4.png - Config 6: Binarization.otsu, SkewCorrection.hough_transform, NoiseRemoval.mean_filter
4.png - Config 7: Binarization.otsu, SkewCorrection.hough_transform, NoiseRemoval.gaussian_filter
3.png - Config 0: Binarization.basic, SkewCorrection.boxes, NoiseRemoval.mean_filter
3.png - Config 1: Binarization.basic, SkewCorrection.boxes, NoiseRemoval.gaussian_filter
3.png - Config 2: Binarization.basic, SkewCorrection.hough_transform, NoiseRemoval.mean_filter
3.png - Config 3: Binarization.basic, SkewCorrection.hough_transform, NoiseRemoval.gaussian_filter
3.png - Config 4: Binarization.otsu, SkewCorrection.boxes, NoiseRemoval.mean_filter
3.png - Config 5: Binarization.otsu, SkewCorrection.boxes, NoiseRemoval.gaussian_filter
3.png - Config 6: Binarization.otsu, SkewCorrection.hough_transform, NoiseRemoval.mean_filter
3.png - Config 7: Binarization.otsu, SkewCorrection.hough_transform, NoiseRemoval.gaussian_filter
2.png - Config 0: Binarization.basic, SkewCorrection.boxes, NoiseRemoval.mean_filter
2.png - Config 1: Binarization.basic, SkewCorrection.boxes, NoiseRemoval.gaussian_filter
2.png - Config 2: Binarization.basic, SkewCorrection.hough_transform, NoiseRemoval.mean_filter
2.png - Config 3: Binarization.basic, SkewCorrection.hough_transform, NoiseRemoval.gaussian_filter
2.png - Config 4: Binarization.otsu, SkewCorrection.boxes, NoiseRemoval.mean_filter
2.png - Config 5: Binarization.otsu, SkewCorrection.boxes, NoiseRemoval.gaussian_filter
2.png - Config 6: Binarization.otsu, SkewCorrection.hough_transform, NoiseRemoval.mean_filter
2.png - Config 7: Binarization.otsu, SkewCorrection.hough_transform, NoiseRemoval.gaussian_filter
1.png - Config 0: Binarization.basic, SkewCorrection.boxes, NoiseRemoval.mean_filter
1.png - Config 1: Binarization.basic, SkewCorrection.boxes, NoiseRemoval.gaussian_filter
1.png - Config 2: Binarization.basic, SkewCorrection.hough_transform, NoiseRemoval.mean_filter
1.png - Config 3: Binarization.basic, SkewCorrection.hough_transform, NoiseRemoval.gaussian_filter
1.png - Config 4: Binarization.otsu, SkewCorrection.boxes, NoiseRemoval.mean_filter
1.png - Config 5: Binarization.otsu, SkewCorrection.boxes, NoiseRemoval.gaussian_filter
1.png - Config 6: Binarization.otsu, SkewCorrection.hough_transform, NoiseRemoval.mean_filter
1.png - Config 7: Binarization.otsu, SkewCorrection.hough_transform, NoiseRemoval.gaussian_filter
